name,rate,category,location,info_link,cover_link
怪诞小镇特别篇：松林之间,9.5,喜剧,美国,https://movie.douban.com/subject/26744258/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2324315416.jpg
创造“哈利`波特”的世界：生物,9.5,喜剧,美国,https://movie.douban.com/subject/6721622/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2425167528.jpg
跳出我天地音乐剧,9.4,喜剧,美国,https://movie.douban.com/subject/26264388/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2215874393.jpg
杰夫·敦哈姆：星星之火让人抓狂,9.5,喜剧,美国,https://movie.douban.com/subject/2363526/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1709619099.jpg
威尔和格蕾丝：后台通行证,9.5,喜剧,美国,https://movie.douban.com/subject/3231922/,https://img1.doubanio.com/lpic/s3279208.jpg
滑稽玩偶,9.5,喜剧,美国,https://movie.douban.com/subject/5096157/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1528882872.jpg
Judah Friedlander: America is the Greatest Country in the United States,9.4,喜剧,美国,https://movie.douban.com/subject/27149822/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2504460157.jpg
怀旧评论狂,9.4,喜剧,美国,https://movie.douban.com/subject/5153418/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2352857712.jpg
哈利同人音乐剧第一部,9.6,喜剧,美国,https://movie.douban.com/subject/20388406/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191854174.jpg
阿甘正传,9.4,喜剧,美国,https://movie.douban.com/subject/1292720/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p510876377.jpg
福尔摩斯二世,9.4,喜剧,美国,https://movie.douban.com/subject/1303408/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206737207.jpg
吉米·鸡毛逊毙了！马达翻身当主持,9.4,喜剧,美国,https://movie.douban.com/subject/26721341/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2315824435.jpg
拽妹黛薇儿要上大学了没,9.4,喜剧,美国,https://movie.douban.com/subject/2054458/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2441936540.jpg
博弈论,9.4,喜剧,美国,https://movie.douban.com/subject/3272459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2254959230.jpg
拜访森林,9.4,喜剧,美国,https://movie.douban.com/subject/25741291/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2155898916.jpg
克里斯洛克脱口秀,9.4,喜剧,美国,https://movie.douban.com/subject/2150624/,https://img3.doubanio.com/lpic/s2604291.jpg
聪明狗走天涯,9.4,喜剧,美国,https://movie.douban.com/subject/1297777/,https://img1.doubanio.com/lpic/s1788447.jpg
平方根：海绵宝宝的故事,9.3,喜剧,美国,https://movie.douban.com/subject/4001873/,https://img3.doubanio.com/lpic/s3956255.jpg
南方公园之梦想国度,9.3,喜剧,美国,https://movie.douban.com/subject/5179539/,https://img3.doubanio.com/lpic/s5293436.jpg
snorks,9.4,喜剧,美国,https://movie.douban.com/subject/1863428/,https://img3.doubanio.com/lpic/s1796635.jpg
30 Rock Kidney Now,9.4,喜剧,美国,https://movie.douban.com/subject/3868403/,https://img3.doubanio.com/lpic/s4044946.jpg
机器人总动员,9.3,喜剧,美国,https://movie.douban.com/subject/2131459/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p449665982.jpg
浪漫小夜曲,9.3,喜剧,美国,https://movie.douban.com/subject/1937462/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2458595709.jpg
甜美的老鼠生活,9.3,喜剧,美国,https://movie.douban.com/subject/1937461/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1068583516.jpg
周六夜现场：贾斯汀·丁伯莱克/Lady Gaga,9.3,喜剧,美国,https://movie.douban.com/subject/6132713/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1027139099.jpg
The Work of Director Michel Gondry,9.3,喜剧,美国,https://movie.douban.com/subject/1400646/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1348801388.jpg
绅士流浪汉,9.3,喜剧,美国,https://movie.douban.com/subject/4088692/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2177308567.jpg
老鼠在曼哈顿,9.3,喜剧,美国,https://movie.douban.com/subject/2155209/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2458339319.jpg
乔治 卡林：王者归来,9.3,喜剧,美国,https://movie.douban.com/subject/3054636/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508661214.jpg
室内溜冰场,9.3,喜剧,美国,https://movie.douban.com/subject/5262256/,https://img3.doubanio.com/lpic/s8912836.jpg
周六夜现场,9.3,喜剧,美国,https://movie.douban.com/subject/6713364/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1835772460.jpg
黑或白,9.3,喜剧,美国,https://movie.douban.com/subject/3266982/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2502492576.jpg
"Russell Peters: Two Concerts, One Ticket",9.3,喜剧,美国,https://movie.douban.com/subject/6087827/,https://img1.doubanio.com/lpic/s4699657.jpg
辛普森一家：颁奖季,9.3,喜剧,美国,https://movie.douban.com/subject/6008882/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2497035958.jpg
查理布朗男孩,9.3,喜剧,美国,https://movie.douban.com/subject/1295406/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p577559527.jpg
伙伴们,9.3,喜剧,美国,https://movie.douban.com/subject/6524294/,https://img3.doubanio.com/lpic/s6620364.jpg
土豆工厂,9.4,喜剧,美国,https://movie.douban.com/subject/1793083/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2233036824.jpg
Rocky Horror Tribute Show,9.3,喜剧,美国,https://movie.douban.com/subject/3539046/,https://img3.doubanio.com/lpic/s3598686.jpg
疯狂动物城,9.2,喜剧,美国,https://movie.douban.com/subject/25662329/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.jpg
摩登时代,9.2,喜剧,美国,https://movie.douban.com/subject/1294371/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.jpg
城市之光,9.2,喜剧,美国,https://movie.douban.com/subject/1293908/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2099815842.jpg
生活多美好,9.2,喜剧,美国,https://movie.douban.com/subject/1293749/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p771490367.jpg
你逃我也逃,9.2,喜剧,美国,https://movie.douban.com/subject/1303418/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1339915772.jpg
欢乐树的朋友们：赶尽杀绝,9.2,喜剧,美国,https://movie.douban.com/subject/3075070/,https://img3.doubanio.com/lpic/s1806732.jpg
欢乐树的朋友们：第二发球,9.2,喜剧,美国,https://movie.douban.com/subject/1393471/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2162261726.jpg
欢乐树的朋友们：第三击,9.2,喜剧,美国,https://movie.douban.com/subject/1393472/,https://img3.doubanio.com/lpic/s1806711.jpg
欢乐树的朋友们：寒假,9.2,喜剧,美国,https://movie.douban.com/subject/1872077/,https://img3.doubanio.com/lpic/s1806745.jpg
汤姆的能量,9.2,喜剧,美国,https://movie.douban.com/subject/1937464/,https://img1.doubanio.com/lpic/s8354299.jpg
拉塞尔·皮特斯：红白褐,9.2,喜剧,美国,https://movie.douban.com/subject/3578890/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2320299004.jpg
拽妹黛薇儿之暑假要结束了没,9.2,喜剧,美国,https://movie.douban.com/subject/2054560/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2383100558.jpg
周六夜现场,9.2,喜剧,美国,https://movie.douban.com/subject/4706591/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2362999490.jpg
周六夜现场,9.2,喜剧,美国,https://movie.douban.com/subject/2346297/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p836398212.jpg
乔治·卡林：你们都有病,9.2,喜剧,美国,https://movie.douban.com/subject/4199429/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508661126.jpg
周六夜现场,9.2,喜剧,美国,https://movie.douban.com/subject/6727006/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1866167902.jpg
辛普森一家之恐怖树屋第十九部,9.2,喜剧,美国,https://movie.douban.com/subject/3289641/,https://img3.doubanio.com/lpic/s3351970.jpg
迪斯尼彭彭丁满欢乐大餐,9.2,喜剧,美国,https://movie.douban.com/subject/2074343/,https://img3.doubanio.com/lpic/s6888773.jpg
乔治·卡林：人生因失而值,9.2,喜剧,美国,https://movie.douban.com/subject/3095617/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2165125235.jpg
猫之布鲁斯,9.2,喜剧,美国,https://movie.douban.com/subject/2191393/,https://img3.doubanio.com/lpic/s8938696.jpg
猫儿上天堂,9.2,喜剧,美国,https://movie.douban.com/subject/5262224/,https://img3.doubanio.com/lpic/s8514370.jpg
圣诞前夜,9.2,喜剧,美国,https://movie.douban.com/subject/3120785/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2456684073.jpg
乔治·卡林：挤在纽约,9.2,喜剧,美国,https://movie.douban.com/subject/3706177/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508661554.jpg
好莱坞碗演奏会,9.1,喜剧,美国,https://movie.douban.com/subject/2144680/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2437612871.jpg
冷气礼堂的喧哗: 比尔·奥雷利 vs. 囧司徒,9.2,喜剧,美国,https://movie.douban.com/subject/19961485/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1717230188.jpg
Jeff Dunham 跟自己吵架,9.2,喜剧,美国,https://movie.douban.com/subject/2363540/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1709607935.jpg
史努比的惊险夏令营,9.2,喜剧,美国,https://movie.douban.com/subject/2139403/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1979604578.jpg
难舍难分,9.2,喜剧,美国,https://movie.douban.com/subject/3840029/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2206663461.jpg
楚门的世界,9.1,喜剧,美国,https://movie.douban.com/subject/1292064/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
触不可及,9.1,喜剧,美国,https://movie.douban.com/subject/6786002/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
两杆大烟枪,9.1,喜剧,美国,https://movie.douban.com/subject/1293350/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
寻梦环游记,9.0,喜剧,美国,https://movie.douban.com/subject/20495023/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.jpg
暴力云与送子鹳,9.1,喜剧,美国,https://movie.douban.com/subject/3734350/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p449756673.jpg
寻子遇仙记,9.1,喜剧,美国,https://movie.douban.com/subject/1293270/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2332976198.jpg
马戏团,9.1,喜剧,美国,https://movie.douban.com/subject/1299628/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248445275.jpg
欢乐树的朋友们,9.1,喜剧,美国,https://movie.douban.com/subject/4181031/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1269191733.jpg
乔治·卡林：这对你不好,9.1,喜剧,美国,https://movie.douban.com/subject/3001399/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2509392958.jpg
老鼠罐头工厂,9.1,喜剧,美国,https://movie.douban.com/subject/1826853/,https://img3.doubanio.com/lpic/s8354291.jpg
欢乐树的朋友们：滑雪巡逻救生队,9.1,喜剧,美国,https://movie.douban.com/subject/3075092/,https://img3.doubanio.com/lpic/s3622650.jpg
双人高尔夫,9.1,喜剧,美国,https://movie.douban.com/subject/1937451/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2458339224.jpg
猫钓鱼,9.1,喜剧,美国,https://movie.douban.com/subject/1937466/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2458595717.jpg
